,React1,React2,React3,Prod1,Prod2,Prod3,Prod4,A,B,C,Type,Tmin,Tmax,Form,Number,Nrate
0,JNH2CO,JH,-,JNH2CHO,-,-,-,0.0,0.988,0.0,14,-9999.0,9999.0,0,7741,1
1,JNH2CO,JH,-,NH2CHO,-,-,-,0.0,0.012,0.0,14,-9999.0,9999.0,0,7742,1
2,QNH2CO,QH,-,QNH2CHO,-,-,-,0.0,1.0,0.0,14,-9999.0,9999.0,0,7743,1
3,JNH2CO,JH,-,JHNCO,JH2,-,-,0.0,0.988,0.0,14,-9999.0,9999.0,0,7744,1
4,JNH2CO,JH,-,HNCO,H2,-,-,0.0,0.012,0.0,14,-9999.0,9999.0,0,7745,1
5,QNH2CO,QH,-,QHNCO,QH2,-,-,0.0,1.0,0.0,14,-9999.0,9999.0,0,7746,1
6,JHC3O,JH,-,JH2C3O,-,-,-,1.0,0.988,0.0,14,-9999.0,9999.0,0,7813,1
7,JHC3O,JH,-,H2C3O,-,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,7814,1
8,QHC3O,QH,-,QH2C3O,-,-,-,1.0,1.0,0.0,14,-9999.0,9999.0,0,7815,1
9,QH,QCN,-,QHCN,-,-,-,1.0,1.0,0.0,14,-9999.0,9999.0,0,7848,1
10,QH,QCN,-,QHCN,-,-,-,1.0,1.0,0.0,14,-9999.0,9999.0,0,7963,1
11,JHC3O,JH,-,JH2C3O,-,-,-,1.0,0.988,0.0,14,-9999.0,9999.0,0,8006,1
12,JHC3O,JH,-,H2C3O,-,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8007,1
13,QHC3O,QH,-,QH2C3O,-,-,-,1.0,1.0,0.0,14,-9999.0,9999.0,0,8008,1
14,JN,JC,-,CN,-,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8265,1
15,JN,JC,-,CN,-,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8268,1
16,JNO,JC,-,O,CN,-,-,0.5,0.012,0.0,14,-9999.0,9999.0,0,8283,1
17,JNO,JC,-,O,CN,-,-,0.5,0.012,0.0,14,-9999.0,9999.0,0,8286,1
18,JNS,JC,-,S,CN,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8292,1
19,JNS,JC,-,S,CN,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8295,1
20,JOCN,JC,-,CO,CN,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8310,1
21,JOCN,JC,-,CO,CN,-,-,1.0,0.012,0.0,14,-9999.0,9999.0,0,8313,1
22,JNH2CO,JH,-,JNH2CHO,-,-,-,0.5,0.988,0.0,14,-9999.0,9999.0,0,8870,1
23,JNH2CO,JH,-,NH2CHO,-,-,-,0.5,0.012,0.0,14,-9999.0,9999.0,0,8871,1
24,QNH2CO,QH,-,QNH2CHO,-,-,-,0.5,1.0,0.0,14,-9999.0,9999.0,0,8872,1
25,JNH2CO,JH,-,JHNCO,JH2,-,-,0.5,0.988,0.0,14,-9999.0,9999.0,0,8873,1
26,JNH2CO,JH,-,HNCO,H2,-,-,0.5,0.012,0.0,14,-9999.0,9999.0,0,8874,1
27,QNH2CO,QH,-,QHNCO,QH2,-,-,0.5,1.0,0.0,14,-9999.0,9999.0,0,8875,1
28,JHNO,JH,-,H2NO,-,-,-,1.0,0.012,1000.0,14,-9999.0,9999.0,0,8877,1
29,JHNO,JH,-,H2NO,-,-,-,1.0,0.012,1000.0,14,-9999.0,9999.0,0,8880,1
30,JNH2OH,JH,-,H2NO,H2,-,-,1.0,0.012,1000.0,14,-9999.0,9999.0,0,8895,1
31,JNH2OH,JH,-,H2NO,H2,-,-,1.0,0.012,1000.0,14,-9999.0,9999.0,0,8898,1
32,JH2O,-,-,H2O,-,-,-,0.0034,0.0074,1.0,26,-9999.0,9999.0,0,9969,1
33,JH2O,-,-,H2O,-,-,-,3.4e-99,0.0074,1.0,26,-9999.0,9999.0,0,9976,1
34,JNH3,-,-,NH3,-,-,-,0.004,0.0074,0.71,26,-9999.0,9999.0,0,9987,1
35,JNH3,-,-,NH3,-,-,-,0.004,0.0074,0.29,26,-9999.0,9999.0,0,9994,1
36,JH2O2,-,-,H2O2,-,-,-,0.0034,0.0074,0.5,26,-9999.0,9999.0,0,10030,1
37,JH2O2,-,-,H2O2,-,-,-,0.0034,0.0074,0.5,26,-9999.0,9999.0,0,10035,1
38,JH2CO,-,-,H2CO,-,-,-,0.0044,0.0074,0.5,26,-9999.0,9999.0,0,10072,1
39,JH2CO,-,-,H2CO,-,-,-,0.0044,0.0074,0.5,26,-9999.0,9999.0,0,10079,1
40,JHCOOH,-,-,HCOOH,-,-,-,0.0044,0.0074,0.5,26,-9999.0,9999.0,0,10152,1
41,JHCOOH,-,-,HCOOH,-,-,-,0.0044,0.0074,0.5,26,-9999.0,9999.0,0,10159,1
