,React1,React2,React3,Prod1,Prod2,Prod3,Prod4,Type,Form,Nrate,A_taquet18,B_taquet18,C_taquet18,A_taquet18_2,B_taquet18_2,C_taquet18_2,Tmin_taquet18,Tmax_taquet18,Tmin_taquet18_2,Tmax_taquet18_2
867,SO2,C,-,SO,CO,-,-,4,3,1,7e-11,0.0,0.0,5e-11,0.0,0.0,0.0,500.0,0.0,500.0
7740,JNH2CO,JH,-,JNH2CHO,-,-,-,14,0,1,0.0,0.988,0.0,0.5,0.988,0.0,-9999.0,9999.0,-9999.0,9999.0
7743,JNH2CO,JH,-,NH2CHO,-,-,-,14,0,1,0.0,0.012,0.0,0.5,0.012,0.0,-9999.0,9999.0,-9999.0,9999.0
7745,QNH2CO,QH,-,QNH2CHO,-,-,-,14,0,1,0.0,1.0,0.0,0.5,1.0,0.0,-9999.0,9999.0,-9999.0,9999.0
7747,JNH2CO,JH,-,JHNCO,JH2,-,-,14,0,1,0.0,0.988,0.0,0.5,0.988,0.0,-9999.0,9999.0,-9999.0,9999.0
7748,JNH2CO,JH,-,HNCO,H2,-,-,14,0,1,0.0,0.012,0.0,0.5,0.012,0.0,-9999.0,9999.0,-9999.0,9999.0
7750,QNH2CO,QH,-,QHNCO,QH2,-,-,14,0,1,0.0,1.0,0.0,0.5,1.0,0.0,-9999.0,9999.0,-9999.0,9999.0
8891,JNH2CO,JH,-,JNH2CHO,-,-,-,14,0,1,0.5,0.988,0.0,0.0,0.988,0.0,-9999.0,9999.0,-9999.0,9999.0
8894,JNH2CO,JH,-,NH2CHO,-,-,-,14,0,1,0.5,0.012,0.0,0.0,0.012,0.0,-9999.0,9999.0,-9999.0,9999.0
8895,QNH2CO,QH,-,QNH2CHO,-,-,-,14,0,1,0.5,1.0,0.0,0.0,1.0,0.0,-9999.0,9999.0,-9999.0,9999.0
8897,JNH2CO,JH,-,JHNCO,JH2,-,-,14,0,1,0.5,0.988,0.0,0.0,0.988,0.0,-9999.0,9999.0,-9999.0,9999.0
8900,JNH2CO,JH,-,HNCO,H2,-,-,14,0,1,0.5,0.012,0.0,0.0,0.012,0.0,-9999.0,9999.0,-9999.0,9999.0
8901,QNH2CO,QH,-,QHNCO,QH2,-,-,14,0,1,0.5,1.0,0.0,0.0,1.0,0.0,-9999.0,9999.0,-9999.0,9999.0
10000,JH2O,-,-,H2O,-,-,-,26,0,1,0.0034,0.0074,1.0,3.4e-99,0.0074,1.0,-9999.0,9999.0,-9999.0,9999.0
10009,JH2O,-,-,H2O,-,-,-,26,0,1,3.4e-99,0.0074,1.0,0.0034,0.0074,1.0,-9999.0,9999.0,-9999.0,9999.0
10021,JNH3,-,-,NH3,-,-,-,26,0,1,0.004,0.0074,0.71,0.004,0.0074,0.29,-9999.0,9999.0,-9999.0,9999.0
10029,JNH3,-,-,NH3,-,-,-,26,0,1,0.004,0.0074,0.29,0.004,0.0074,0.71,-9999.0,9999.0,-9999.0,9999.0
